2021-12-28 21:12:891 INFO  AuthenticationPage :33 - entering random email : <br>
2021-12-28 21:12:855 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (d9ce5d62c447d23b8d173039f5ffaac1)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 21:12:936 INFO  AuthenticationPage :39 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (d9ce5d62c447d23b8d173039f5ffaac1)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 21:12:378 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (5bce603f9e0fce191f71a35a4e965b89)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 21:12:629 INFO  AuthenticationPage :39 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (5bce603f9e0fce191f71a35a4e965b89)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 21:12:478 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (a4bcae8b4d897f47456328bff53190fc)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 21:12:785 INFO  AuthenticationPage :39 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (a4bcae8b4d897f47456328bff53190fc)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 22:12:825 INFO  AuthenticationPage :33 - entering random email : <br>
2021-12-28 22:12:351 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (9a7a8a4141fc8a4bad51a3b5b0b3ab67)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 22:12:821 INFO  AuthenticationPage :39 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (9a7a8a4141fc8a4bad51a3b5b0b3ab67)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 22:12:971 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (c0eb41b5b8f5a9a7e7d6f6133c878c6c)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 22:12:262 INFO  AuthenticationPage :39 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (c0eb41b5b8f5a9a7e7d6f6133c878c6c)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 22:12:922 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (489ca831822c6512a2932fed78c0caf9)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 22:12:453 INFO  AuthenticationPage :39 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (489ca831822c6512a2932fed78c0caf9)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 22:12:183 INFO  AuthenticationPage :33 - entering random email : <br>
2021-12-28 22:12:631 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (5086372edcd1401d57283c9ab11a5d96)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 22:12:112 INFO  AuthenticationPage :39 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (5086372edcd1401d57283c9ab11a5d96)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 22:12:870 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (538e256b37a77a56685cc1c7f1497d9b)] -> xpath: //a[normalize-space()='Sign in']]
